ID	Batch	Biosample	Accession	Ring	Tissue	Age	Sex	CoverageFile	Total_Sequences	Unique_Reads_Mapped	MappingRate	Total_Cytosines	CpG_Methylation_Rate	CHG_Methylation_Rate	CHH_Methylation_Rate	NumberRawCpGs	Number10XCpGs	Family
B2X7441_BL_CHK_M__SRR10606822	Kiel_RRBS	B2X7441_BL_CHK_M	SRR10606822	B2X7441	BL	CHK	M	/dss/dsslegfs01/pr53da/pr53da-dss-0024/projects/2022_EpigeneticsTits/2023JULY/bismark_cov/B2X7441_BL_CHK_M__SRR10606822.cov.gz	23709330	15068251	63.60%	201181990	35.90%	0.70%	0.30%	1176204	597816	NA
B2X7441_BL_CHK_M__SRR10606840	Kiel_RRBS	B2X7441_BL_CHK_M	SRR10606840	B2X7441	BL	CHK	M	/dss/dsslegfs01/pr53da/pr53da-dss-0024/projects/2022_EpigeneticsTits/2023JULY/bismark_cov/B2X7441_BL_CHK_M__SRR10606840.cov.gz	19938125	12833580	64.40%	170522358	35.40%	0.70%	0.30%	1212186	569179	NA
B2X7441_BL_YRL_M__SRR10606825	Kiel_RRBS	B2X7441_BL_YRL_M	SRR10606825	B2X7441	BL	YRL	M	/dss/dsslegfs01/pr53da/pr53da-dss-0024/projects/2022_EpigeneticsTits/2023JULY/bismark_cov/B2X7441_BL_YRL_M__SRR10606825.cov.gz	24019194	14842627	61.80%	201078193	36.00%	0.70%	0.40%	1241939	635071	NA
B2X7441_BL_YRL_M__SRR10606842	Kiel_RRBS	B2X7441_BL_YRL_M	SRR10606842	B2X7441	BL	YRL	M	/dss/dsslegfs01/pr53da/pr53da-dss-0024/projects/2022_EpigeneticsTits/2023JULY/bismark_cov/B2X7441_BL_YRL_M__SRR10606842.cov.gz	24878840	15408499	61.90%	207534820	35.60%	0.70%	0.30%	1330913	680809	NA
B2X7449_BL_CHK_M__SRR10606821	Kiel_RRBS	B2X7449_BL_CHK_M	SRR10606821	B2X7449	BL	CHK	M	/dss/dsslegfs01/pr53da/pr53da-dss-0024/projects/2022_EpigeneticsTits/2023JULY/bismark_cov/B2X7449_BL_CHK_M__SRR10606821.cov.gz	28935845	18011231	62.20%	239409657	39.30%	0.70%	0.30%	1325675	695757	NA
B2X7449_BL_CHK_M__SRR10606839	Kiel_RRBS	B2X7449_BL_CHK_M	SRR10606839	B2X7449	BL	CHK	M	/dss/dsslegfs01/pr53da/pr53da-dss-0024/projects/2022_EpigeneticsTits/2023JULY/bismark_cov/B2X7449_BL_CHK_M__SRR10606839.cov.gz	24181454	15353346	63.50%	204400516	36.60%	0.70%	0.30%	1271973	619229	NA
B2X7449_BL_YRL_M__SRR10606824	Kiel_RRBS	B2X7449_BL_YRL_M	SRR10606824	B2X7449	BL	YRL	M	/dss/dsslegfs01/pr53da/pr53da-dss-0024/projects/2022_EpigeneticsTits/2023JULY/bismark_cov/B2X7449_BL_YRL_M__SRR10606824.cov.gz	26689775	16155380	60.50%	212094704	40.30%	0.70%	0.30%	1280744	642627	NA
B2X7449_BL_YRL_M__SRR10606841	Kiel_RRBS	B2X7449_BL_YRL_M	SRR10606841	B2X7449	BL	YRL	M	/dss/dsslegfs01/pr53da/pr53da-dss-0024/projects/2022_EpigeneticsTits/2023JULY/bismark_cov/B2X7449_BL_YRL_M__SRR10606841.cov.gz	25383670	15931691	62.80%	212642138	35.90%	0.70%	0.30%	1320111	656848	NA
B2X4825_BL_ADL_M__SRR10606819	Kiel_WGBS	B2X4825_BL_ADL_M	SRR10606819	B2X4825	BL	ADL	M	/dss/dsslegfs01/pr53da/pr53da-dss-0024/projects/2022_EpigeneticsTits/2023JULY/bismark_cov/B2X4825_BL_ADL_M__SRR10606819.cov.gz	124259279	70005901	56.30%	3398043572	53.10%	1.30%	0.80%	10824435	1516647	F4
B2X4825_BL_ADL_M__SRR10606820	Kiel_WGBS	B2X4825_BL_ADL_M	SRR10606820	B2X4825	BL	ADL	M	/dss/dsslegfs01/pr53da/pr53da-dss-0024/projects/2022_EpigeneticsTits/2023JULY/bismark_cov/B2X4825_BL_ADL_M__SRR10606820.cov.gz	129402690	75388446	58.30%	3621819242	52.70%	1.40%	0.80%	10616746	964734	F4
B2X4930_BL_ADL_F__SRR10606817	Kiel_WGBS	B2X4930_BL_ADL_F	SRR10606817	B2X4930	BL	ADL	F	/dss/dsslegfs01/pr53da/pr53da-dss-0024/projects/2022_EpigeneticsTits/2023JULY/bismark_cov/B2X4930_BL_ADL_F__SRR10606817.cov.gz	120306827	70485355	58.60%	3411006762	56.70%	1.20%	0.70%	11206072	2182731	NA
B2X4930_BL_ADL_F__SRR10606818	Kiel_WGBS	B2X4930_BL_ADL_F	SRR10606818	B2X4930	BL	ADL	F	/dss/dsslegfs01/pr53da/pr53da-dss-0024/projects/2022_EpigeneticsTits/2023JULY/bismark_cov/B2X4930_BL_ADL_F__SRR10606818.cov.gz	136346029	78412669	57.50%	3893060246	56.70%	1.20%	0.70%	11169958	2232865	NA
B2X6537_BL_CHK_M__SRR10606815	Kiel_WGBS	B2X6537_BL_CHK_M	SRR10606815	B2X6537	BL	CHK	M	/dss/dsslegfs01/pr53da/pr53da-dss-0024/projects/2022_EpigeneticsTits/2023JULY/bismark_cov/B2X6537_BL_CHK_M__SRR10606815.cov.gz	206211684	62911446	30.50%	2799094162	50.30%	1.60%	1.00%	7262770	1090278	NA
B2X6537_BL_CHK_M__SRR10606816	Kiel_WGBS	B2X6537_BL_CHK_M	SRR10606816	B2X6537	BL	CHK	M	/dss/dsslegfs01/pr53da/pr53da-dss-0024/projects/2022_EpigeneticsTits/2023JULY/bismark_cov/B2X6537_BL_CHK_M__SRR10606816.cov.gz	246834580	77690553	31.50%	3838581070	49.90%	1.60%	1.10%	8121870	2162012	NA
B2X6540_BL_CHK_M__SRR10606813	Kiel_WGBS	B2X6540_BL_CHK_M	SRR10606813	B2X6540	BL	CHK	M	/dss/dsslegfs01/pr53da/pr53da-dss-0024/projects/2022_EpigeneticsTits/2023JULY/bismark_cov/B2X6540_BL_CHK_M__SRR10606813.cov.gz	216517463	66529185	30.70%	3109551130	50.10%	1.60%	1.00%	7862062	1065359	NA
B2X6540_BL_CHK_M__SRR10606814	Kiel_WGBS	B2X6540_BL_CHK_M	SRR10606814	B2X6540	BL	CHK	M	/dss/dsslegfs01/pr53da/pr53da-dss-0024/projects/2022_EpigeneticsTits/2023JULY/bismark_cov/B2X6540_BL_CHK_M__SRR10606814.cov.gz	220383638	66657149	30.20%	2913377995	51.40%	1.60%	1.10%	7043382	1125873	NA
B2X7441_BL_CHK_M__SRR10606810	Kiel_WGBS	B2X7441_BL_CHK_M	SRR10606810	B2X7441	BL	CHK	M	/dss/dsslegfs01/pr53da/pr53da-dss-0024/projects/2022_EpigeneticsTits/2023JULY/bismark_cov/B2X7441_BL_CHK_M__SRR10606810.cov.gz	120694935	69645906	57.70%	3167021162	55.40%	1.40%	0.90%	10069211	1840696	NA
B2X7441_BL_CHK_M__SRR10606811	Kiel_WGBS	B2X7441_BL_CHK_M	SRR10606811	B2X7441	BL	CHK	M	/dss/dsslegfs01/pr53da/pr53da-dss-0024/projects/2022_EpigeneticsTits/2023JULY/bismark_cov/B2X7441_BL_CHK_M__SRR10606811.cov.gz	113183224	66432734	58.70%	3167046384	54.90%	1.40%	0.80%	10277707	2200782	NA
B2X7449_BL_CHK_M__SRR10606808	Kiel_WGBS	B2X7449_BL_CHK_M	SRR10606808	B2X7449	BL	CHK	M	/dss/dsslegfs01/pr53da/pr53da-dss-0024/projects/2022_EpigeneticsTits/2023JULY/bismark_cov/B2X7449_BL_CHK_M__SRR10606808.cov.gz	197554172	123254806	62.40%	5895693907	57.20%	1.40%	0.80%	11281613	3564757	NA
B2X7449_BL_CHK_M__SRR10606809	Kiel_WGBS	B2X7449_BL_CHK_M	SRR10606809	B2X7449	BL	CHK	M	/dss/dsslegfs01/pr53da/pr53da-dss-0024/projects/2022_EpigeneticsTits/2023JULY/bismark_cov/B2X7449_BL_CHK_M__SRR10606809.cov.gz	231649850	139821902	60.40%	6955154881	56.90%	1.30%	0.80%	11740674	2430614	NA
C2R0242_BL_ADL_F__SRR10606806	Kiel_WGBS	C2R0242_BL_ADL_F	SRR10606806	C2R0242	BL	ADL	F	/dss/dsslegfs01/pr53da/pr53da-dss-0024/projects/2022_EpigeneticsTits/2023JULY/bismark_cov/C2R0242_BL_ADL_F__SRR10606806.cov.gz	219243866	71745308	32.70%	3339422650	50.90%	1.60%	1.00%	8026273	2031758	NA
C2R0242_BL_ADL_F__SRR10606807	Kiel_WGBS	C2R0242_BL_ADL_F	SRR10606807	C2R0242	BL	ADL	F	/dss/dsslegfs01/pr53da/pr53da-dss-0024/projects/2022_EpigeneticsTits/2023JULY/bismark_cov/C2R0242_BL_ADL_F__SRR10606807.cov.gz	246003574	80093546	32.60%	3800046335	50.80%	1.60%	1.00%	8053550	1954757	NA
C2R0553_BL_ADL_M__SRR10606804	Kiel_WGBS	C2R0553_BL_ADL_M	SRR10606804	C2R0553	BL	ADL	M	/dss/dsslegfs01/pr53da/pr53da-dss-0024/projects/2022_EpigeneticsTits/2023JULY/bismark_cov/C2R0553_BL_ADL_M__SRR10606804.cov.gz	249525536	71524898	28.70%	3396375068	50.40%	1.60%	1.00%	7991796	1757334	NA
C2R0553_BL_ADL_M__SRR10606805	Kiel_WGBS	C2R0553_BL_ADL_M	SRR10606805	C2R0553	BL	ADL	M	/dss/dsslegfs01/pr53da/pr53da-dss-0024/projects/2022_EpigeneticsTits/2023JULY/bismark_cov/C2R0553_BL_ADL_M__SRR10606805.cov.gz	127067598	38760546	30.50%	1871503339	48.90%	1.40%	0.90%	7460321	1076811	NA
B1P5975_BL_ADL_M__SRR20216588	Saarland_First	B1P5975_BL_ADL_M	SRR20216588	B1P5975	BL	ADL	M	/dss/dsslegfs01/pr53da/pr53da-dss-0024/projects/2022_EpigeneticsTits/2023JULY/bismark_cov/B1P5975_BL_ADL_M__SRR20216588.cov.gz	22464657	10248560	45.60%	459981602	47.60%	2.00%	0.50%	914396	413499	NA
B1V5492_BL_ADL_F__SRR20216587	Saarland_First	B1V5492_BL_ADL_F	SRR20216587	B1V5492	BL	ADL	F	/dss/dsslegfs01/pr53da/pr53da-dss-0024/projects/2022_EpigeneticsTits/2023JULY/bismark_cov/B1V5492_BL_ADL_F__SRR20216587.cov.gz	22761148	9825078	43.20%	441111217	49.00%	2.00%	0.50%	818935	385746	NA
B1V5571_BL_ADL_F__SRR20216445	Saarland_First	B1V5571_BL_ADL_F	SRR20216445	B1V5571	BL	ADL	F	/dss/dsslegfs01/pr53da/pr53da-dss-0024/projects/2022_EpigeneticsTits/2023JULY/bismark_cov/B1V5571_BL_ADL_F__SRR20216445.cov.gz	19852829	8484542	42.70%	380225607	48.20%	1.80%	0.50%	755318	367362	NA
B2F5304_BL_CHK_M__SRR20216434	Saarland_First	B2F5304_BL_CHK_M	SRR20216434	B2F5304	BL	CHK	M	/dss/dsslegfs01/pr53da/pr53da-dss-0024/projects/2022_EpigeneticsTits/2023JULY/bismark_cov/B2F5304_BL_CHK_M__SRR20216434.cov.gz	5631370	2291327	40.70%	103832439	48.50%	1.90%	0.50%	489212	169742	NA
B2V8308_BL_CHK_F__SRR20216423	Saarland_First	B2V8308_BL_CHK_F	SRR20216423	B2V8308	BL	CHK	F	/dss/dsslegfs01/pr53da/pr53da-dss-0024/projects/2022_EpigeneticsTits/2023JULY/bismark_cov/B2V8308_BL_CHK_F__SRR20216423.cov.gz	20418848	8856576	43.40%	402974081	48.00%	2.00%	0.50%	989822	413676	NA
B2V8668_BL_CHK_F__SRR20216412	Saarland_First	B2V8668_BL_CHK_F	SRR20216412	B2V8668	BL	CHK	F	/dss/dsslegfs01/pr53da/pr53da-dss-0024/projects/2022_EpigeneticsTits/2023JULY/bismark_cov/B2V8668_BL_CHK_F__SRR20216412.cov.gz	5628445	2338505	41.50%	103802140	50.90%	2.10%	0.50%	496619	135860	NA
B2V8683_BL_ADL_M__SRR20216521	Saarland_First	B2V8683_BL_ADL_M	SRR20216521	B2V8683	BL	ADL	M	/dss/dsslegfs01/pr53da/pr53da-dss-0024/projects/2022_EpigeneticsTits/2023JULY/bismark_cov/B2V8683_BL_ADL_M__SRR20216521.cov.gz	23923898	10779347	45.10%	476915350	46.30%	2.10%	0.50%	750753	364090	NA
B2V8701_BL_ADL_F__SRR20216510	Saarland_First	B2V8701_BL_ADL_F	SRR20216510	B2V8701	BL	ADL	F	/dss/dsslegfs01/pr53da/pr53da-dss-0024/projects/2022_EpigeneticsTits/2023JULY/bismark_cov/B2V8701_BL_ADL_F__SRR20216510.cov.gz	5834826	2470046	42.30%	111186627	47.70%	1.70%	0.50%	553225	156306	NA
B2V8779_BL_CHK_M__SRR20216499	Saarland_First	B2V8779_BL_CHK_M	SRR20216499	B2V8779	BL	CHK	M	/dss/dsslegfs01/pr53da/pr53da-dss-0024/projects/2022_EpigeneticsTits/2023JULY/bismark_cov/B2V8779_BL_CHK_M__SRR20216499.cov.gz	18194277	8223291	45.20%	367075954	48.00%	1.90%	0.50%	828139	374975	NA
B2V8793_BL_ADL_F__SRR20216408	Saarland_First	B2V8793_BL_ADL_F	SRR20216408	B2V8793	BL	ADL	F	/dss/dsslegfs01/pr53da/pr53da-dss-0024/projects/2022_EpigeneticsTits/2023JULY/bismark_cov/B2V8793_BL_ADL_F__SRR20216408.cov.gz	10177037	4268058	41.90%	186667464	48.50%	2.10%	0.50%	682072	212626	NA
B2V8841_BL_ADL_F__SRR20216586	Saarland_First	B2V8841_BL_ADL_F	SRR20216586	B2V8841	BL	ADL	F	/dss/dsslegfs01/pr53da/pr53da-dss-0024/projects/2022_EpigeneticsTits/2023JULY/bismark_cov/B2V8841_BL_ADL_F__SRR20216586.cov.gz	15631632	6972494	44.60%	309280099	46.90%	1.80%	0.50%	601272	301086	F3
B2V8901_BL_CHK_F__SRR20216575	Saarland_First	B2V8901_BL_CHK_F	SRR20216575	B2V8901	BL	CHK	F	/dss/dsslegfs01/pr53da/pr53da-dss-0024/projects/2022_EpigeneticsTits/2023JULY/bismark_cov/B2V8901_BL_CHK_F__SRR20216575.cov.gz	10269633	4271918	41.60%	190257531	50.20%	2.10%	0.50%	618203	210156	NA
B2V8902_BL_CHK_F__SRR20216564	Saarland_First	B2V8902_BL_CHK_F	SRR20216564	B2V8902	BL	CHK	F	/dss/dsslegfs01/pr53da/pr53da-dss-0024/projects/2022_EpigeneticsTits/2023JULY/bismark_cov/B2V8902_BL_CHK_F__SRR20216564.cov.gz	3870411	1591506	41.10%	70729342	49.40%	1.90%	0.50%	438689	102378	NA
B2V8972_BL_ADL_F__SRR20216553	Saarland_First	B2V8972_BL_ADL_F	SRR20216553	B2V8972	BL	ADL	F	/dss/dsslegfs01/pr53da/pr53da-dss-0024/projects/2022_EpigeneticsTits/2023JULY/bismark_cov/B2V8972_BL_ADL_F__SRR20216553.cov.gz	28546784	12378927	43.40%	547824929	47.50%	1.90%	0.50%	1002295	445836	NA
B2V8973_BL_ADL_F__SRR20216542	Saarland_First	B2V8973_BL_ADL_F	SRR20216542	B2V8973	BL	ADL	F	/dss/dsslegfs01/pr53da/pr53da-dss-0024/projects/2022_EpigeneticsTits/2023JULY/bismark_cov/B2V8973_BL_ADL_F__SRR20216542.cov.gz	2311994	919269	39.80%	41131196	48.50%	1.60%	0.50%	345463	66586	NA
B2V8993_BL_CHK_M__SRR20216531	Saarland_First	B2V8993_BL_CHK_M	SRR20216531	B2V8993	BL	CHK	M	/dss/dsslegfs01/pr53da/pr53da-dss-0024/projects/2022_EpigeneticsTits/2023JULY/bismark_cov/B2V8993_BL_CHK_M__SRR20216531.cov.gz	13233531	5882071	44.40%	265065368	50.40%	1.90%	0.50%	761789	303125	NA
B2X3020_BL_ADL_M__SRR20216480	Saarland_First	B2X3020_BL_ADL_M	SRR20216480	B2X3020	BL	ADL	M	/dss/dsslegfs01/pr53da/pr53da-dss-0024/projects/2022_EpigeneticsTits/2023JULY/bismark_cov/B2X3020_BL_ADL_M__SRR20216480.cov.gz	6735409	3005145	44.60%	131627344	47.40%	2.20%	0.50%	409145	139891	NA
